x1,y1,z1,x2,y2,z2
2.75298,1.11963,0.494791,-1.00186,-0.608385,2.67482
2.85084,1.3405,-0.272057,-1.21162,0.159771,2.78597
2.46418,0.464427,-0.573728,-0.337768,0.455692,2.38996
2.36632,0.243559,0.193121,-0.128011,-0.312464,2.27881
2.61651,0.301131,0.545003,-0.196014,-0.630716,2.53306
2.69449,0.515929,-0.225839,-0.404844,0.139975,2.6271
2.14549,-0.277826,-0.502557,0.387383,0.421589,2.07838
2.06751,-0.492623,0.268285,0.596212,-0.349102,1.98435
2.11693,-0.313227,0.592211,0.411537,-0.652348,2.05317
2.22395,-0.0974097,-0.174852,0.218401,0.116706,2.1861
1.60573,-0.832233,-0.467854,0.948263,0.408007,1.56123
1.49871,-1.04805,0.299209,1.1414,-0.361047,1.4283
1.97018,-0.459163,0.591146,0.556983,-0.651248,1.90752
2.06531,-0.250609,-0.179485,0.357551,0.1184,2.02704
1.47114,-1.01033,-0.458432,1.10874,0.406331,1.42636
1.37601,-1.21888,0.312198,1.30817,-0.363317,1.30684
1.88248,0.854477,0.548074,-0.754668,-0.596169,1.82068
1.7433,1.03705,-0.222454,-0.950482,0.176642,1.71659
2.0806,0.132357,-0.497737,-0.0317905,0.449707,2.01568
2.21978,-0.0502133,0.272791,0.164024,-0.323105,2.11978
1.52598,1.09776,0.531613,-0.981239,-0.584299,1.46482
1.31809,1.17885,-0.240801,-1.0828,0.183685,1.24964
2.02924,0.519772,-0.501388,-0.429791,0.468281,1.95717
2.23712,0.438682,0.271026,-0.328229,-0.299703,2.17235
1.99242,0.164617,0.597539,-0.0569029,-0.664198,1.8997
1.74092,1.06953,0.242715,-0.966886,-0.295604,1.68974
1.73119,0.773708,-0.504823,-0.666616,0.450179,1.69759
1.98269,-0.131203,-0.149998,0.243367,0.081585,1.90756
2.81407,-0.620487,0.611103,0.72417,-0.688773,2.75057
2.92484,0.32374,0.288334,-0.218224,-0.352395,2.83279
2.83929,0.0741614,-0.471144,0.0465707,0.404311,2.772
2.72852,-0.870066,-0.148375,0.988964,0.0679336,2.68978
2.4456,-1.81285,0.640117,1.89586,-0.7212,2.39249
2.90933,-0.972501,0.345526,1.08325,-0.418532,2.89851
2.73667,-1.14571,-0.420373,1.26344,0.346717,2.73018
2.27294,-1.98606,-0.125782,2.07606,0.0440488,2.22415
2.92558,-0.513022,0.581239,0.613475,-0.656586,2.8463
3.23846,0.404268,0.319124,-0.296126,-0.37537,3.16498
3.13699,0.217321,-0.456228,-0.0859923,0.396416,3.08371
2.82411,-0.69997,-0.194113,0.823609,0.1152,2.76502
2.63797,0.255722,0.532009,-0.160738,-0.600504,2.553
2.88825,1.19879,0.295363,-1.09363,-0.347558,2.82456
2.80681,1.02451,-0.485285,-0.903061,0.430391,2.7546
2.55653,0.0814441,-0.248639,0.0298305,0.177445,2.48304
2.4304,-0.757982,0.784745,0.873226,-0.904017,2.42053
2.57594,-0.30265,0.138289,0.360446,-0.297378,2.54488
2.29572,-1.06003,-0.45826,1.08334,0.360623,2.31581
2.15018,-1.51536,0.188196,1.59612,-0.246016,2.19146
2.98221,-0.177446,0.787229,0.287484,-0.861203,2.91122
2.95043,0.265437,0.11696,-0.153217,-0.189558,2.87819
2.85706,-0.570622,-0.431041,0.686231,0.358627,2.82493
2.88885,-1.0135,0.239228,1.12693,-0.313018,2.85797
3.0456,0.573361,0.774224,-0.461139,-0.838749,2.96981
2.86091,1.01572,0.128762,-0.910414,-0.194095,2.79955
3.03086,0.222849,-0.463255,-0.124066,0.402472,2.98334
3.21556,-0.219512,0.182207,0.325209,-0.242182,3.15361
2.95005,-1.46319,0.86795,1.57978,-0.949114,2.91392
3.15327,-1.00776,0.237318,1.15548,-0.32142,3.18298
2.7217,-1.67095,-0.380701,1.80537,0.305814,2.74452
2.51849,-2.12638,0.249931,2.22967,-0.321881,2.47547
2.9562,-1.45749,0.867944,1.54932,-0.942566,2.89974
3.15751,-1.0085,0.2321,1.11825,-0.306852,3.13735
2.71847,-1.67471,-0.377339,1.80064,0.307606,2.7314
2.51715,-2.1237,0.258505,2.23172,-0.328109,2.49379
2.95039,0.0493799,0.820867,0.066713,-0.90206,2.89211
2.6311,0.380147,0.161275,-0.260175,-0.256143,2.54232
3.05839,-0.332113,-0.402747,0.425922,0.32967,2.9829
3.37768,-0.662881,0.256845,0.752811,-0.316246,3.33269
2.82805,0.541309,0.721437,-0.453253,-0.7864,2.72103
2.64157,0.980833,0.0745534,-0.897777,-0.135892,2.56087
2.95155,0.234866,-0.521654,-0.163177,0.452257,2.91081
3.13803,-0.204658,0.125229,0.281347,-0.198251,3.07097
3.59095,-1.62672,0.845967,1.74194,-0.926947,3.5718
3.71619,-1.1719,0.194913,1.27514,-0.27968,3.66954
3.46206,-1.94452,-0.393718,2.06115,0.315721,3.48059
3.33681,-2.39934,0.257336,2.52795,-0.331546,3.38284
3.29374,-0.310359,0.776394,0.432294,-0.856246,3.21339
3.21846,0.127829,0.106514,-0.009724,-0.190939,3.12173
3.25639,-0.709822,-0.44568,0.821482,0.369235,3.17933
3.33168,-1.14801,0.2242,1.2635,-0.296072,3.271
2.67037,0.477747,0.686262,-0.394346,-0.750944,2.62019
2.49332,0.938565,0.051663,-0.849575,-0.109048,2.45542
2.82525,0.218277,-0.563987,-0.11802,0.494399,2.78511
3.0023,-0.242541,0.0706119,0.337209,-0.147497,2.94988
4.30718,-0.642347,0.848677,0.759359,-0.936645,4.18678
4.3162,-0.191107,0.183307,0.300345,-0.276555,4.18859
4.17395,-1.01277,-0.375851,1.12262,0.295426,4.11987
4.16493,-1.46401,0.289519,1.58163,-0.364663,4.11806
4.28571,0.200191,0.807752,0.245464,-0.887493,4.33883
4.13491,0.613954,0.135089,-0.169877,-0.204746,4.25071
4.25948,-0.221905,-0.406982,0.687277,0.317947,4.26042
4.41028,-0.635668,0.265682,1.10262,-0.3648,4.34854
3.96709,1.00278,0.763243,-0.834365,-0.848586,3.93704
3.7623,1.4432,0.122536,-1.24298,-0.194317,3.71037
4.0515,0.696535,-0.48316,-0.487567,0.386827,4.02602
4.25629,0.256113,0.157547,-0.0789479,-0.267442,4.25269
3.97327,0.225071,0.799088,-0.108207,-0.884057,3.89252
3.92547,0.748266,0.190484,-0.631436,-0.275293,3.8472
3.9506,-0.0118632,-0.464945,0.126642,0.380515,3.9042
3.99839,-0.535059,0.143658,0.649872,-0.228249,3.94951
3.89159,-0.97726,0.865826,0.606223,-0.89769,4.03284
3.89789,-0.51461,0.208307,0.196919,-0.209724,3.95807
3.65503,-1.31024,-0.353845,1.05884,0.289289,3.83123
3.64872,-1.77288,0.303674,1.46815,-0.398676,3.906
4.02474,-0.04456,0.78633,0.783688,-0.869597,3.85972
3.91489,0.308965,0.0726294,0.425493,-0.156034,3.76517
3.87008,-0.59254,-0.367026,1.32433,0.286584,3.7004
3.97993,-0.946065,0.346675,1.68253,-0.426979,3.79495
4.28149,-1.27898,0.879553,1.38874,-0.977987,4.21524
4.34972,-0.845565,0.20582,0.951795,-0.306624,4.2843
4.03331,-1.63201,-0.332141,1.76511,0.244096,4.07634
3.96508,-2.06542,0.341591,2.20205,-0.427267,4.00728
3.81989,0.322377,0.748346,-0.191962,-0.816542,3.6761
3.55415,0.673007,0.0754019,-0.558278,-0.133545,3.46222
3.8875,-0.106517,-0.462402,0.204787,0.395367,3.84432
4.15324,-0.457148,0.210542,0.571102,-0.287631,4.0582
3.67452,-1.52832,0.877464,1.62138,-0.966267,3.61104
3.77263,-1.06615,0.22693,1.16074,-0.314838,3.71035
3.42242,-1.80748,-0.352553,1.9359,0.271628,3.45897
3.32431,-2.26965,0.297981,2.39655,-0.379801,3.35967
3.35713,0.293104,0.721826,-0.169472,-0.801466,3.29204
3.24558,0.759431,0.0764483,-0.652693,-0.167248,3.18869
3.40484,-0.0307849,-0.522059,0.116084,0.449618,3.37967
3.51639,-0.497112,0.123319,0.599305,-0.1846,3.48302
4.33652,0.742844,0.729683,-0.618074,-0.817204,4.26466
4.19652,1.14579,0.0481763,-1.02152,-0.137237,4.11874
4.38369,0.314025,-0.482059,-0.200474,0.397112,4.33869
4.52368,-0.0889213,0.199448,0.202969,-0.282856,4.48461
2.64267,-0.589703,0.797178,0.692588,-0.870796,2.58458
2.76509,-0.121439,0.155181,0.221207,-0.225883,2.6757
2.56249,-0.897115,-0.449217,1.01486,0.373577,2.53866
2.44008,-1.36538,0.192779,1.48624,-0.271337,2.44754
3.58946,-0.101139,0.73708,0.222304,-0.804697,3.51622
3.55781,0.680732,0.108039,-0.574088,-0.194098,3.48548
3.44464,0.17899,-0.509911,-0.0883838,0.432713,3.35276
3.47629,-0.602881,0.119129,0.708008,-0.177886,3.3835
3.15794,-0.810274,0.720454,0.76032,-0.786254,3.08183
3.33127,-0.31405,0.112066,0.281633,-0.147801,3.18008
2.97424,-0.988829,-0.540022,1.04809,0.461169,2.9571
2.80091,-1.48505,0.0683666,1.52678,-0.177283,2.85886
3.11465,-0.702018,0.701605,0.909262,-0.781802,3.10376
3.40472,-0.29247,0.0734788,0.652637,-0.176069,3.56598
2.97022,-0.945663,-0.553071,1.02239,0.484121,2.9061
2.68015,-1.35521,0.0750555,1.27901,-0.121612,2.44388
3.12857,-0.701421,0.707283,0.848293,-0.773301,3.14735
3.4256,-0.299106,0.0777346,0.603906,-0.144753,3.58509
2.97414,-0.942817,-0.546635,1.00752,0.481118,2.91175
2.67711,-1.34513,0.0829137,1.25191,-0.14743,2.474
2.85892,0.571845,0.715598,-0.325895,-0.817483,2.66252
2.56384,0.997924,0.100942,-0.830794,-0.236745,2.42964
2.89359,0.300047,-0.541126,-0.171248,0.457588,2.73116
3.18866,-0.126032,0.0735299,0.333651,-0.12315,2.96405
4.71661,-0.743243,0.730632,0.683706,-0.857471,4.63954
4.89842,-0.248882,0.123204,0.177415,-0.268776,4.84817
4.5659,-0.932466,-0.532662,0.838948,0.414318,4.52603
4.38409,-1.42683,0.0747663,1.34524,-0.174377,4.31741
2.74821,-0.755392,0.712969,0.881688,-0.795679,2.79661
3.00471,-0.306617,0.0971557,0.406134,-0.187773,3.0218
2.57731,-0.946831,-0.547418,1.03461,0.464379,2.58852
2.32082,-1.39561,0.0683955,1.51016,-0.143528,2.36332
2.73691,-0.767799,0.713395,0.82333,-0.771919,2.69697
3.00525,-0.313865,0.106473,0.409006,-0.145127,2.98312
2.58244,-0.943512,-0.551396,1.04904,0.48365,2.53255
2.3141,-1.39745,0.0555253,1.46337,-0.143142,2.2464
2.71818,-0.545817,0.71104,0.642132,-0.771871,2.6465
2.6593,-0.0629826,0.0708682,0.169224,-0.125001,2.58067
2.79186,-0.851636,-0.536148,0.960787,0.470394,2.74483
2.85074,-1.33447,0.104023,1.4337,-0.176476,2.81065
2.71788,-0.543907,0.712375,0.642249,-0.771832,2.64658
2.65872,-0.0631334,0.0706807,0.16922,-0.125069,2.58057
2.79203,-0.85358,-0.533833,0.960657,0.470518,2.74464
2.8512,-1.33435,0.107861,1.43369,-0.176245,2.81065
2.24108,0.813795,0.826798,-0.693364,-0.884184,2.18593
1.94799,1.44147,0.100069,-1.33241,-0.161352,1.90816
2.16081,0.899228,-0.454096,-0.797599,0.3966,2.12971
2.4539,0.271552,0.272634,-0.158554,-0.326231,2.40747
2.24573,0.801386,0.82676,-0.69376,-0.883088,2.18748
1.94907,1.43851,0.109766,-1.33236,-0.160504,1.90807
2.159,0.903518,-0.452489,-0.79764,0.397638,2.12935
2.45566,0.266396,0.264505,-0.159036,-0.324946,2.40876
2.24747,0.795935,0.828485,-0.694587,-0.883802,2.18954
1.94842,1.43836,0.117237,-1.33188,-0.16124,1.90709
2.15764,0.908069,-0.449713,-0.796527,0.39687,2.12692
2.45669,0.265641,0.261536,-0.159236,-0.325692,2.40938
2.27063,0.841175,0.754288,-0.705854,-0.782999,2.24281
1.91761,1.43962,0.0295422,-1.27602,-0.0667643,1.83058
2.16608,0.913836,-0.525642,-0.791452,0.496142,2.13839
2.51909,0.315389,0.199104,-0.221287,-0.220093,2.55062
2.2752,0.82198,0.771329,-0.725105,-0.828175,2.22367
1.93563,1.42832,0.0467156,-1.33649,-0.102968,1.89458
2.1734,0.897789,-0.508641,-0.81481,0.452836,2.15022
2.51296,0.291448,0.215972,-0.203424,-0.272372,2.4793
2.72754,0.142135,0.775125,-0.149728,-0.881504,2.66959
